	15C	15H	26C	26H	27C	27H	28C	28H	29C	29H	2C	2H	4C	4H	
isogroupTR100002_c1_g1	105	39	177	37	65	53	31	30	23	60	78	86	78	53	
isogroupTR100003_c0_g1	0	1	1	2	0	0	1	0	2	1	1	0	1	3	
isogroupTR100003_c0_g2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR100004_c1_g2	1133	285	1623	277	552	599	476	405	277	876	1079	795	670	461	
isogroupTR100005_c0_g1	4	2	1	4	2	0	1	0	2	1	0	2	0	11	
isogroupTR100006_c0_g1	11	24	23	25	17	13	20	5	19	16	44	18	25	45	
isogroupTR100007_c2_g2	2	1	3	1	0	1	0	0	0	2	0	3	1	3	
isogroupTR100013_c0_g1	20	20	51	32	14	19	19	16	14	20	32	24	17	15	
isogroupTR100015_c0_g1	1057	266	1037	275	234	674	311	378	368	706	825	528	355	264	
isogroupTR100023_c1_g1	0	1	2	2	1	1	0	0	1	0	2	1	0	1	
isogroupTR100023_c3_g1	13	10	36	34	19	3	13	11	3	19	18	30	17	24	
isogroupTR100024_c0_g1	151	41	84	4	60	27	12	9	32	40	114	67	108	41	
isogroupTR100029_c1_g1	3	0	0	0	1	3	2	1	0	2	2	0	2	1	
isogroupTR100029_c2_g1	0	0	8	1	0	0	2	1	0	0	6	1	3	0	
isogroupTR100030_c0_g1	271	130	554	144	272	103	408	148	399	184	636	316	662	260	
isogroupTR100034_c0_g1	0	1	3	0	0	0	0	0	0	0	1	2	0	0	
isogroupTR100034_c0_g2	0	0	0	0	1	3	0	0	0	2	0	0	0	1	
isogroupTR100037_c0_g1	0	0	1	0	0	0	2	0	0	0	0	1	0	1	
isogroupTR100040_c0_g2	3	1	6	1	2	4	2	2	1	6	2	0	1	2	
isogroupTR100042_c3_g1	25	11	41	13	14	8	6	6	7	11	18	20	14	10	
isogroupTR100048_c1_g1	1	1	2	0	2	2	1	1	0	4	3	1	5	1	
isogroupTR100051_c0_g1	44	16	168	32	60	21	71	19	6	21	63	45	97	31	
isogroupTR100054_c0_g1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	
isogroupTR100057_c2_g2	70	64	25	14	82	31	5	7	8	44	124	95	24	14	
isogroupTR100058_c5_g1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	
isogroupTR100062_c0_g1	0	2	0	0	1	3	0	0	1	1	2	1	1	0	
isogroupTR100064_c1_g1	183	49	515	118	241	135	332	99	34	25	208	145	252	88	
isogroupTR100065_c0_g1	0	0	11	3	5	5	2	4	4	5	4	0	8	3	
isogroupTR100067_c0_g1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	
isogroupTR100071_c2_g1	7	3	23	10	9	7	7	4	3	14	14	9	7	7	
isogroupTR100071_c2_g2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	
isogroupTR100073_c0_g1	47	23	62	23	24	45	22	15	12	22	68	33	40	39	
isogroupTR100074_c0_g1	30	25	53	15	24	26	13	7	32	37	49	21	25	26	
isogroupTR100076_c0_g1	56	20	102	32	29	84	13	21	8	34	37	47	33	29	
isogroupTR100077_c4_g1	0	0	0	0	1	0	1	0	0	1	4	0	1	1	
isogroupTR100077_c5_g1	1	1	1	0	1	1	0	0	1	0	3	0	0	0	
isogroupTR10007_c0_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR100089_c0_g2	1650	817	1921	871	867	1006	794	740	526	1031	1549	1130	1054	810	
