isogroupTR86076_c0_g1	Chaperone protein DnaJ OS=Aeromonas salmonicida (strain A449) OX=382245 GN=dnaJ PE=3 SV=1 E(blastx)=3e-06
isogroupTR135652_c0_g1	Serine palmitoyltransferase 1 OS=Cricetulus griseus OX=10029 GN=SPTLC1 PE=1 SV=1 E(blastx)=7e-30
isogroupTR92547_c7_g1	Acyloxyacyl hydrolase OS=Homo sapiens OX=9606 GN=AOAH PE=1 SV=1 E(blastx)=1e-162
isogroupTR376623_c0_g1	Tropomyosin OS=Haliotis rufescens OX=6454 PE=2 SV=1 E(blastx)=2e-08
isogroupTR79967_c9_g1	Neurogenic locus Notch protein OS=Drosophila melanogaster OX=7227 GN=N PE=1 SV=3 E(blastx)=1e-47
isogroupTR334343_c0_g1	PI-PLC X domain-containing protein At5g67130 OS=Arabidopsis thaliana OX=3702 GN=At5g67130 PE=1 SV=1 E(blastx)=3e-07
isogroupTR124791_c3_g1	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Mus musculus OX=10090 GN=Ssc5d PE=1 SV=1 E(blastx)=2e-18
isogroupTR187224_c0_g1	PDZ and LIM domain protein Zasp OS=Drosophila melanogaster OX=7227 GN=Zasp52 PE=1 SV=2 E(blastx)=3e-12
isogroupTR457335_c0_g1	Proliferation-associated protein 2G4 OS=Rattus norvegicus OX=10116 GN=Pa2g4 PE=1 SV=1 E(blastx)=2e-54
isogroupTR131938_c0_g1	Growth hormone-inducible transmembrane protein OS=Mus musculus OX=10090 GN=Ghitm PE=1 SV=1 E(blastx)=2e-71
isogroupTR139393_c0_g1	Nanos homolog 1 OS=Danio rerio OX=7955 GN=nanos1 PE=2 SV=1 E(blastx)=8e-23
isogroupTR134294_c1_g1	Frizzled-6 OS=Mus musculus OX=10090 GN=Fzd6 PE=1 SV=1 E(blastx)=9e-06
isogroupTR124308_c9_g1	G2/M phase-specific E3 ubiquitin-protein ligase OS=Macaca fascicularis OX=9541 GN=G2E3 PE=2 SV=2 E(blastx)=9e-47
isogroupTR107683_c2_g6	Protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1 OS=Arabidopsis thaliana OX=3702 GN=ALP1 PE=1 SV=1 E(blastx)=7e-11
isogroupTR96615_c5_g1	Cysteine-rich hydrophobic domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CHIC2 PE=1 SV=1 E(blastx)=7e-52
isogroupTR167672_c2_g4	Fibroblast growth factor 20 OS=Mus musculus OX=10090 GN=Fgf20 PE=2 SV=2 E(blastx)=3e-15
isogroupTR139065_c1_g1	Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster OX=7227 GN=X-element\ORF2 PE=3 SV=1 E(blastx)=2e-16
isogroupTR105710_c10_g7	Protein vav OS=Drosophila melanogaster OX=7227 GN=Vav PE=1 SV=2 E(blastx)=2e-06
isogroupTR130403_c1_g2	Calmodulin-4 OS=Arabidopsis thaliana OX=3702 GN=CAM4 PE=1 SV=1 E(blastx)=3e-43
isogroupTR149006_c3_g1	Ferric-chelate reductase 1 OS=Homo sapiens OX=9606 GN=FRRS1 PE=2 SV=2 E(blastx)=2e-12
isogroupTR139263_c0_g1	Ras-related protein Rab-6 OS=Dictyostelium discoideum OX=44689 GN=rab6 PE=3 SV=1 E(blastx)=3e-51
isogroupTR263818_c0_g1	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase OS=Caenorhabditis elegans OX=6239 GN=pfkb-1.2 PE=3 SV=2 E(blastx)=7e-26
isogroupTR251678_c0_g2	40S ribosomal protein S20 OS=Rattus norvegicus OX=10116 GN=Rps20 PE=3 SV=1 E(blastx)=1e-15
isogroupTR153910_c6_g1	Protein lin-41 OS=Caenorhabditis elegans OX=6239 GN=lin-41 PE=1 SV=1 E(blastx)=1e-17
isogroupTR130986_c0_g2	Putative nucleotidyltransferase MAB21L1 OS=Xenopus laevis OX=8355 GN=mab21l1 PE=2 SV=1 E(blastx)=3e-16
isogroupTR143595_c1_g1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Bos taurus OX=9913 GN=NDUFA6 PE=1 SV=2 E(blastx)=6e-06
isogroupTR172763_c7_g4	RING finger protein 37 OS=Mus musculus OX=10090 GN=Ubox5 PE=1 SV=2 E(blastx)=1e-40
isogroupTR121994_c2_g10	Tetratricopeptide repeat protein 38 OS=Mus musculus OX=10090 GN=Ttc38 PE=1 SV=2 E(blastx)=5e-51
isogroupTR156361_c4_g3	Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Mus musculus OX=10090 GN=Mfhas1 PE=1 SV=2 E(blastx)=3e-09
isogroupTR135703_c9_g5	Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type OS=Anopheles gambiae OX=7165 GN=SERCA PE=3 SV=5 E(blastx)=1e-39
isogroupTR134376_c0_g1	Nephrocystin-3 OS=Homo sapiens OX=9606 GN=NPHP3 PE=1 SV=1 E(blastx)=1e-13
isogroupTR274840_c2_g1	Delphilin OS=Homo sapiens OX=9606 GN=GRID2IP PE=3 SV=2 E(blastx)=6e-08
isogroupTR172577_c1_g1	Nuclear factor related to kappa-B-binding protein OS=Homo sapiens OX=9606 GN=NFRKB PE=1 SV=2 E(blastx)=1e-102
isogroupTR391689_c0_g2	Tartrate-resistant acid phosphatase type 5 OS=Homo sapiens OX=9606 GN=ACP5 PE=1 SV=3 E(blastx)=2e-54
isogroupTR150091_c0_g1	Leucine-rich repeat-containing protein 23 OS=Mus musculus OX=10090 GN=Lrrc23 PE=1 SV=1 E(blastx)=3e-99
isogroupTR172712_c3_g1	Arginine-hydroxylase NDUFAF5, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFAF5 PE=1 SV=1 E(blastx)=4e-132
isogroupTR80209_c2_g1	Fibrillin-2 OS=Homo sapiens OX=9606 GN=FBN2 PE=1 SV=3 E(blastx)=3e-13
isogroupTR116595_c0_g1	Polyubiquitin-B OS=Cavia porcellus OX=10141 GN=UBB PE=2 SV=1 E(blastx)=1e-125
