kb8_s67167	Protein disulfide-isomerase OS=Oryctolagus cuniculus OX=9986 GN=P4HB PE=2 SV=1 E(blastx)=4e-09
kb8_c28508	Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=4 E(blastx)=2e-13
kb8_rep_c5713	Chaperone protein ClpB OS=Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262) OX=272626 GN=clpB PE=3 SV=1 E(blastx)=2e-178
kb8_c5263	Peptidyl-prolyl cis-trans isomerase CYP38, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CYP38 PE=1 SV=1 E(blastx)=8e-71
kb8_c31808	Protein translocase subunit SecA OS=Trichodesmium erythraeum (strain IMS101) OX=203124 GN=secA PE=3 SV=1 E(blastx)=9e-40
kb8_rep_c6617	Bystin OS=Monosiga brevicollis OX=81824 GN=bysl PE=3 SV=1 E(blastx)=7e-104
kb8_c18484	PHD and RING finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PHRF1 PE=1 SV=3 E(blastx)=1e-12
kb8_s53936	ER lumen protein-retaining receptor 2 OS=Xenopus tropicalis OX=8364 GN=kdelr2 PE=2 SV=1 E(blastx)=2e-08
kb8_rep_c3169	Phenolphthiocerol/phthiocerol polyketide synthase subunit A OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=ppsA PE=1 SV=1 E(blastx)=9e-51
kb8_c14519	RAP domain-containing protein, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=AL1 PE=2 SV=1 E(blastx)=9e-05
kb8_s67160	Dinoflagellate viral nucleoprotein 5 OS=Hematodinium sp. OX=173654 PE=1 SV=1 E(blastx)=2e-09
kb8_rep_c3765	F-box/WD repeat-containing protein 7 OS=Rattus norvegicus OX=10116 GN=Fbxw7 PE=1 SV=2 E(blastx)=1e-13
kb8_c36883	Multisubstrate pseudouridine synthase 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PUS7 PE=1 SV=1 E(blastx)=3e-08
kb8_c40378	Glutamate synthase [NADH], amyloplastic OS=Medicago sativa OX=3879 PE=1 SV=1 E(blastx)=6e-47
kb8_c25478	Voltage-dependent L-type calcium channel subunit alpha-1C OS=Rattus norvegicus OX=10116 GN=Cacna1c PE=1 SV=1 E(blastx)=4e-06
kb8_rep_c11000	Fucoxanthin-chlorophyll a-c binding protein, chloroplastic OS=Chattonella marina var. antiqua OX=859642 PE=1 SV=1 E(blastx)=3e-16
kb8_rep_c10568	Caltractin OS=Scherffelia dubia OX=3190 PE=1 SV=1 E(blastx)=5e-66
kb8_rep_c6837	RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2 E(blastx)=4e-08
